ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
3235	"ENSG00000254154"	"CRYZL2P-SEC16B"	chr1	-	177960341	177961734	177960341	177960403	177961589	177961734
3299	"ENSG00000108654"	"DDX5"	chr17	-	64500548	64501143	64500548	64500882	64501056	64501143
3361	"ENSG00000090539"	"CHRD"	chr3	+	184386045	184386938	184386045	184386159	184386844	184386938
3616	"ENSG00000082068"	"WDR70"	chr5	+	37721114	37725050	37721114	37721215	37724933	37725050
3672	"ENSG00000124564"	"SLC17A3"	chr6	-	25850047	25850877	25850047	25850177	25850758	25850877
3793	"ENSG00000188257"	"PLA2G2A"	chr1	-	19978014	19978879	19978014	19978121	19978733	19978879
3923	"ENSG00000100316"	"RPL3"	chr22	-	39313190	39314208	39313190	39313310	39314106	39314208
4018	"ENSG00000142910"	"TINAGL1"	chr1	+	31585439	31586755	31585439	31585485	31586709	31586755
4043	"ENSG00000112739"	"PRPF4B"	chr6	+	4060412	4062299	4060412	4060686	4061654	4062299
4234	"ENSG00000132424"	"PNISR"	chr6	-	99414571	99416428	99414571	99414686	99416348	99416428
4335	"ENSG00000233184"	"AC093157.1"	chr1	+	101080388	101083574	101080388	101080613	101080886	101083574
4418	"ENSG00000136450"	"SRSF1"	chr17	-	58004922	58005973	58004922	58005041	58005800	58005973
4459	"ENSG00000169764"	"UGP2"	chr2	+	63885588	63885886	63885588	63885677	63885770	63885886
4618	"ENSG00000135541"	"AHI1"	chr6	-	135301407	135302817	135301407	135301539	135302669	135302817
4635	"ENSG00000196591"	"HDAC2"	chr6	-	113946007	113949260	113946007	113946148	113949167	113949260
4685	"ENSG00000153187"	"HNRNPU"	chr1	-	244846603	244854503	244846603	244846706	244854317	244854503
5021	"ENSG00000115464"	"USP34"	chr2	-	61236025	61236389	61236025	61236073	61236324	61236389
5082	"ENSG00000064703"	"DDX20"	chr1	+	111760705	111761284	111760705	111760848	111761225	111761284
5160	"ENSG00000224078"	"SNHG14"	chr15	+	25041973	25042910	25041973	25042515	25042797	25042910
5161	"ENSG00000224078"	"SNHG14"	chr15	+	25053827	25055230	25053827	25053967	25054969	25055230
5173	"ENSG00000224078"	"SNHG14"	chr15	+	25107909	25109403	25107909	25108038	25109197	25109403
5184	"ENSG00000204713"	"TRIM27"	chr6	-	28903001	28908840	28903001	28904665	28908807	28908840
5264	"ENSG00000223960"	"CHROMR"	chr2	+	178426365	178430889	178426365	178426505	178430694	178430889
5267	"ENSG00000223960"	"CHROMR"	chr2	+	178426365	178430889	178426365	178426703	178430694	178430889
5279	"ENSG00000088205"	"DDX18"	chr2	+	117826268	117829466	117826268	117826382	117829288	117829466
5286	"ENSG00000204472"	"AIF1"	chr6	+	31615669	31616506	31615669	31615736	31616343	31616506
5433	"ENSG00000140398"	"NEIL1"	chr15	+	75352601	75354492	75352601	75352701	75354430	75354492
5519	"ENSG00000160695"	"VPS11"	chr11	+	119078172	119078997	119078172	119078334	119078794	119078997
5633	"ENSG00000130414"	"NDUFA10"	chr2	-	240011616	240014860	240011616	240011660	240014738	240014860
5665	"ENSG00000111011"	"RSRC2"	chr12	-	122518838	122521428	122518838	122519051	122521384	122521428
5695	"ENSG00000128284"	"APOL3"	chr22	-	36149045	36149371	36149045	36149185	36149258	36149371
5756	"ENSG00000137726"	"FXYD6"	chr11	-	117841989	117842261	117841989	117842025	117842106	117842261
5784	"ENSG00000110172"	"CHORDC1"	chr11	-	90210535	90214175	90210535	90210594	90214017	90214175
5875	"ENSG00000122566"	"HNRNPA2B1"	chr7	-	26189932	26192577	26189932	26190460	26192494	26192577
5991	"ENSG00000186088"	"GSAP"	chr7	-	77329332	77330367	77329332	77329391	77330181	77330367
5999	"ENSG00000135218"	"CD36"	chr7	+	80672769	80674147	80672769	80672843	80673982	80674147
6093	"ENSG00000105835"	"NAMPT"	chr7	-	106274945	106277179	106274945	106275043	106277022	106277179
6132	"ENSG00000196873"	"CBWD3"	chr9	+	68297751	68299965	68297751	68297817	68299480	68299965
6527	"ENSG00000215301"	"DDX3X"	chrX	+	41342736	41344128	41342736	41342836	41344029	41344128
6660	"ENSG00000147416"	"ATP6V1B2"	chr8	+	20212781	20217324	20212781	20212905	20217219	20217324
7277	"ENSG00000143549"	"TPM3"	chr1	-	154170648	154172978	154170648	154170711	154172907	154172978
7330	"ENSG00000132199"	"ENOSF1"	chr18	-	690548	691276	690548	690631	691203	691276
7336	"ENSG00000255717"	"SNHG1"	chr11	-	62852810	62854551	62852810	62853115	62853800	62854551
7553	"ENSG00000198258"	"UBL5"	chr19	+	9828326	9828675	9828326	9828389	9828591	9828675
7574	"ENSG00000100225"	"FBXO7"	chr22	+	32487744	32493281	32487744	32487828	32493104	32493281
7591	"ENSG00000122877"	"EGR2"	chr10	-	62815860	62816366	62815860	62815969	62816252	62816366
7843	"ENSG00000123349"	"PFDN5"	chr12	+	53295838	53298150	53295838	53295941	53298044	53298150
7981	"ENSG00000089157"	"RPLP0"	chr12	-	120199309	120201110	120199309	120199485	120201082	120201110
8009	"ENSG00000092531"	"SNAP23"	chr15	+	42513173	42513447	42513173	42513209	42513398	42513447
